payment_id,customer_id,payment_amount,failure_type,retry_count,successful_payments,failed_payments,customer_age_days,days_since_failure,payment_method,previous_recovery_rate,recovered
pay_00001,cust_0457,206.5,authentication_failed,0,0,1,253,1.24,upi,0.0,1
pay_00002,cust_2466,599.22,invalid_card,2,0,2,744,2.17,netbanking,0.0,0
pay_00003,cust_1139,245.64,expired_card,2,1,7,579,0.71,upi,0.125,0
pay_00004,cust_1551,2256.65,authentication_failed,0,1,3,821,1.52,card,0.25,1
pay_00005,cust_0327,1759.87,bank_timeout,2,6,4,748,4.69,upi,0.6,1
pay_00006,cust_0293,4143.65,expired_card,1,10,0,264,4.13,netbanking,1.0,0
pay_00007,cust_1293,2825.36,bank_timeout,3,12,7,176,1.4,netbanking,0.632,0
pay_00008,cust_1011,5998.61,expired_card,1,16,7,123,3.8,card,0.696,0
pay_00009,cust_0450,7174.27,invalid_card,3,16,4,596,4.32,netbanking,0.8,0
pay_00010,cust_0048,2768.69,insufficient_funds,3,5,7,33,4.77,upi,0.417,0
pay_00011,cust_1079,2014.86,authentication_failed,1,4,5,810,0.89,netbanking,0.444,0
pay_00012,cust_2173,1976.72,expired_card,0,7,1,117,3.69,card,0.875,1
pay_00013,cust_0284,765.82,expired_card,3,6,8,803,3.68,netbanking,0.429,0
pay_00014,cust_0824,5613.57,insufficient_funds,1,2,5,51,2.98,card,0.286,0
pay_00015,cust_0943,375.53,insufficient_funds,0,16,3,315,3.38,upi,0.842,1
pay_00016,cust_0878,860.95,invalid_card,1,3,1,704,2.21,upi,0.75,0
pay_00017,cust_1735,322.33,insufficient_funds,2,3,3,226,1.03,upi,0.5,1
pay_00018,cust_1838,241.05,invalid_card,0,1,8,886,0.17,netbanking,0.111,0
pay_00019,cust_0383,923.5,invalid_card,1,12,0,429,1.4,card,1.0,1
pay_00020,cust_1864,8482.75,bank_timeout,2,6,0,623,3.71,card,1.0,0
pay_00021,cust_0250,528.53,insufficient_funds,0,5,1,639,0.43,netbanking,0.833,1
pay_00022,cust_0964,320.13,authentication_failed,3,18,8,353,4.68,card,0.692,0
pay_00023,cust_0837,1530.96,invalid_card,0,0,7,666,4.99,upi,0.0,0
pay_00024,cust_0410,220.98,bank_timeout,2,5,7,883,2.76,upi,0.417,1
pay_00025,cust_1240,2307.3,insufficient_funds,2,3,1,790,2.81,card,0.75,1
pay_00026,cust_1116,1685.42,authentication_failed,2,1,1,679,2.18,upi,0.5,0
pay_00027,cust_1134,666.44,invalid_card,3,17,0,144,0.47,netbanking,1.0,0
pay_00028,cust_0611,916.46,insufficient_funds,2,1,5,245,3.44,upi,0.167,0
pay_00029,cust_0422,779.38,bank_timeout,1,13,0,213,3.71,card,1.0,1
pay_00030,cust_1361,705.44,expired_card,0,12,0,909,2.41,card,1.0,1
pay_00031,cust_0818,729.69,bank_timeout,1,12,5,315,4.34,card,0.706,1
pay_00032,cust_1144,2358.36,insufficient_funds,2,5,4,69,0.63,card,0.556,1
pay_00033,cust_1780,302.71,invalid_card,1,8,0,755,2.24,netbanking,1.0,0
pay_00034,cust_2130,768.69,expired_card,0,10,5,709,4.26,upi,0.667,1
pay_00035,cust_1231,832.78,bank_timeout,3,5,4,445,2.78,upi,0.556,1
pay_00036,cust_0002,2570.73,invalid_card,3,6,8,514,3.99,upi,0.429,0
pay_00037,cust_0696,396.66,bank_timeout,2,7,3,180,0.22,netbanking,0.7,0
pay_00038,cust_1003,805.03,invalid_card,3,7,2,701,3.47,upi,0.778,0
pay_00039,cust_0437,7870.69,insufficient_funds,1,3,7,166,4.03,netbanking,0.3,0
pay_00040,cust_2176,9239.09,authentication_failed,1,15,7,295,3.78,upi,0.682,0
pay_00041,cust_1136,428.74,expired_card,2,10,5,944,2.75,card,0.667,1
pay_00042,cust_0567,4497.46,invalid_card,3,13,0,241,4.18,upi,1.0,0
pay_00043,cust_1596,8996.27,invalid_card,2,9,6,903,4.47,card,0.6,0
pay_00044,cust_1717,9283.78,bank_timeout,3,15,0,428,1.75,upi,1.0,1
pay_00045,cust_1657,416.25,invalid_card,0,2,6,168,4.35,netbanking,0.25,0
pay_00046,cust_0745,5287.59,expired_card,2,2,7,49,3.77,upi,0.222,0
pay_00047,cust_0214,498.97,insufficient_funds,1,0,2,274,0.72,card,0.0,0
pay_00048,cust_0469,608.76,authentication_failed,0,5,4,140,2.94,netbanking,0.556,0
pay_00049,cust_1278,953.11,insufficient_funds,1,3,4,900,3.45,netbanking,0.429,0
pay_00050,cust_0496,1082.1,insufficient_funds,2,0,6,872,2.5,netbanking,0.0,0
pay_00051,cust_1776,7950.45,bank_timeout,2,19,8,823,2.47,netbanking,0.704,0
pay_00052,cust_1785,446.72,expired_card,1,14,6,374,0.24,upi,0.7,1
pay_00053,cust_1332,2594.87,authentication_failed,1,2,3,767,2.09,card,0.4,1
pay_00054,cust_2275,426.45,insufficient_funds,1,12,3,343,3.35,upi,0.8,1
pay_00055,cust_1512,1850.58,expired_card,3,8,4,287,1.23,netbanking,0.667,1
pay_00056,cust_0789,870.7,bank_timeout,3,8,8,641,1.49,netbanking,0.5,1
pay_00057,cust_0412,647.83,expired_card,0,17,4,744,4.73,card,0.81,1
pay_00058,cust_2011,1568.39,bank_timeout,2,15,1,871,0.42,card,0.938,1
pay_00059,cust_2015,1107.16,insufficient_funds,0,17,6,650,3.02,card,0.739,1
pay_00060,cust_0925,5081.17,expired_card,0,19,1,1000,3.84,netbanking,0.95,1
pay_00061,cust_0865,540.51,insufficient_funds,3,19,7,328,0.26,upi,0.731,0
pay_00062,cust_1181,1907.61,authentication_failed,1,13,1,587,1.2,netbanking,0.929,1
pay_00063,cust_0611,1142.75,authentication_failed,2,14,1,509,3.47,netbanking,0.933,1
pay_00064,cust_1649,481.8,invalid_card,2,19,4,56,0.55,netbanking,0.826,1
pay_00065,cust_2357,375.14,bank_timeout,3,8,2,629,2.24,upi,0.8,0
pay_00066,cust_2015,489.72,bank_timeout,3,15,4,708,4.73,upi,0.789,1
pay_00067,cust_2254,3811.34,authentication_failed,3,13,0,222,2.64,card,1.0,0
pay_00068,cust_2042,1406.91,invalid_card,3,3,0,675,3.08,netbanking,1.0,0
pay_00069,cust_0981,655.06,insufficient_funds,0,20,2,540,4.67,upi,0.909,1
pay_00070,cust_1196,636.44,invalid_card,1,12,3,973,3.04,netbanking,0.8,1
pay_00071,cust_0560,2579.22,insufficient_funds,2,18,7,916,0.83,upi,0.72,1
pay_00072,cust_2207,2524.98,bank_timeout,1,18,6,269,4.29,netbanking,0.75,1
pay_00073,cust_1683,8679.05,bank_timeout,0,4,8,634,1.73,upi,0.333,1
pay_00074,cust_0412,719.71,invalid_card,1,2,7,830,4.85,netbanking,0.222,0
